,ID,Progress,Duration (in seconds),Finished,RecordedDate,UserLanguage,What category does a majority of your clientele (coaching) fall under? ,How long have you been coaching?,"Do you coach clients that are natural, enhanced, or both?","After completion of a caloric deficit (fat loss phase) in your natural athletes, do you purposely increase calories for your clients?�","In your natural athletes, do you utilize what you would consider is a ""reverse dieting"" approach?","When implementing a reverse diet for natural clients, do you primarily focus on manipulating specific macronutrients or general caloric intake?","Does your clientele consist of primarily men, women, or both?�","After a caloric deficit for a natural 100kg male utilizing a reverse dieting strategy, on average, what is your daily caloric increase?","After a caloric deficit for a natural 60kg female utilizing a reverse dieting strategy, on average, what is your daily caloric increase?","After a caloric deficit for a natural 100kg male utilizing a reverse dieting strategy, on average, what is your daily total macronutrient (PRO + CHO+ FAT) increase?","After a caloric deficit for a natural 60kg female utilizing a reverse dieting strategy, on average, what is your daily total macronutrient (PRO + CHO+ FAT) increase?",How many weeks on average do your natural clients spend reverse dieting?,"If you prescribed a natural client (x) amount of cardio and/or step count during the caloric deficit (fat loss phase), how do you adjust cardio/step count once the fat loss phase is completed?�","If your clients have ever experienced a negative effect from reverse dieting please explain. (e.g. adherence, body fat levels, hormonal factors, etc.)�",Why do you implement a reverse dieting strategy after a caloric deficit (fat loss phase) as opposed to another approach?,"By selecting �yes� I understand my responses, while remaining anonymous, IP address information is collected in order to prevent duplicate survey responses, and will be used for research analysis.",,,,
,,,,,,,,,,,,"(e.g. increase by (x) grams of carbohydrates, fat, protein OR increase by (x) amount of calories regardless of macronutrients)�",,,,,,,,,,,,,,
,,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID4""}",Use this specific example: If the diet ended at 2000 calories how many calories on average are you adding to this each day for the next 7 days?,Use this specific example: If the diet ended at 1000 calories how many calories on average are you adding to this each day for the next 7 days?,Use this specific example: If the diet ended at 2000 calories how many macros on average are you adding to this each day for the next 7 days?,Use this specific example: If the diet ended at 1000 calories how many macros on average are you adding to this each day for the next 7 days?,"{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID23""}",,,,
,ID1,56,379,FALSE,1/5/2024 5:06,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,400,,,,,,,,,,,,
,ID2,72,964,FALSE,1/31/2024 13:24,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Calories,I coach Both,I would add 200 calories per week,,I would add a total of 200 calories and I would keep his protein needs the same as in the deficit and adjust eh macros to meet the new calorie goal,I would add 200 calories for the week,,,,,,,,,
,ID3,56,96,FALSE,12/30/2023 6:42,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,15,,,,,,,,,,,,
,ID4,100,732,TRUE,12/29/2023 5:28,EN,Competitive physique athletes,2-4 years,I coach both,Yes,Yes,I focus on Macronutrients,I coach Both,"150 to 250 calories, Depending on how lean he was on show day! Body Fat % determines how much I add back in  ",,"""2.4g protein/kg of bodyweight stays constant for next 7 days • +50g carbs from final prep diet stays constant for two days the adding 25g if need be • +10g fat from final prep diet( Same as Carbs) • 30g fiber ",1.5-1.7g protein/kg of bodyweight stays constant for next 7 days • +25g carbs from final prep diet stays constant for two days the adding 15g if need be • +5g fat from final prep diet( Same as Carbs) • 15g fiber ,"Untill we get to maitance calories, depends once again on their stage conditioning and how lean they were! 2 to 4 weeks ",Decrease,More mentally starined as they fear gaining fat ,Body needs to get back to normal metabolism regulation asap ( Recovery and Reverse) used both with great success ,Yes,,,,
,ID5,100,88,TRUE,1/24/2024 18:51,EN,Lifestyle/General population,2-4 years,I coach both,Yes,No,,,,,,,,,,,,,,,
,ID6,100,119,TRUE,1/23/2024 23:10,EN,Lifestyle/General population,2-4 years,I only coach natural athletes,Yes,No,,,,,,,,,,,,,,,
,ID7,28,37,FALSE,1/18/2024 18:29,EN,"Team sports/ Athletic performance (football,swimming,combat sports)",<2 years,I only coach natural athletes,,No,,,,,,,,,,,,,,,
,ID8,56,168,FALSE,1/4/2024 12:14,EN,Lifestyle/General population,>8 years,I only coach natural athletes,Yes,Yes,I focus on Macronutrients,I coach Both,30,,,,,,,,,,,,
,ID9,11,151,FALSE,1/17/2024 19:52,EN,,,,,,,,,,,,,,,,,,,,
,ID10,100,524,TRUE,12/25/2023 9:11,EN,Lifestyle/General population,>8 years,I coach both,Yes,Yes,I focus on Calories,I coach Both,30-50,,1:02:01,1:02:01,3-4 months,No change,Adherence gets difficult as there are calories coming in and the option to make it fit in your macros does get a little tempting ,Build a baseline at the body weight maintain for a bit then go into a surplus then again do a fast loss phase after desired duration ,Yes,,,,
,ID11,100,97,TRUE,1/9/2024 23:57,EN,Lifestyle/General population,5-8 years,I only coach natural athletes,No,No,,,,,,,,,,,,,,,
